# emoji	group	subgroup	name	keywords
🫷🏾	People & Body	hand-fingers-open	leftwards pushing hand: medium-dark skin tone	leftwards pushing hand: medium-dark skin tone
🫷🏿	People & Body	hand-fingers-open	leftwards pushing hand: dark skin tone	leftwards pushing hand: dark skin tone
🫸	People & Body	hand-fingers-open	rightwards pushing hand	rightwards pushing hand,block,five,halt,hand,high,hold,pause,push,pushing,refuse,rightward,rightwards,slap,stop,wait
🫸🏻	People & Body	hand-fingers-open	rightwards pushing hand: light skin tone	rightwards pushing hand: light skin tone
🫸🏼	People & Body	hand-fingers-open	rightwards pushing hand: medium-light skin tone	rightwards pushing hand: medium-light skin tone
🫸🏽	People & Body	hand-fingers-open	rightwards pushing hand: medium skin tone	rightwards pushing hand: medium skin tone
🫸🏾	People & Body	hand-fingers-open	rightwards pushing hand: medium-dark skin tone	rightwards pushing hand: medium-dark skin tone
🫸🏿	People & Body	hand-fingers-open	rightwards pushing hand: dark skin tone	rightwards pushing hand: dark skin tone
👌	People & Body	hand-fingers-partial	OK hand	ok hand,awesome,bet,dope,fleek,fosho,got,gotcha,hand,legit,ok,okay,pinch,rad,sure,sweet,three
👌🏻	People & Body	hand-fingers-partial	OK hand: light skin tone	ok hand: light skin tone
👌🏼	People & Body	hand-fingers-partial	OK hand: medium-light skin tone	ok hand: medium-light skin tone
👌🏽	People & Body	hand-fingers-partial	OK hand: medium skin tone	ok hand: medium skin tone
👌🏾	People & Body	hand-fingers-partial	OK hand: medium-dark skin tone	ok hand: medium-dark skin tone
👌🏿	People & Body	hand-fingers-partial	OK hand: dark skin tone	ok hand: dark skin tone
🤌	People & Body	hand-fingers-partial	pinched fingers	pinched fingers,fingers,gesture,hand,hold,huh,interrogation,patience,pinched,relax,sarcastic,ugh,what,zip
🤌🏻	People & Body	hand-fingers-partial	pinched fingers: light skin tone	pinched fingers: light skin tone
🤌🏼	People & Body	hand-fingers-partial	pinched fingers: medium-light skin tone	pinched fingers: medium-light skin tone
🤌🏽	People & Body	hand-fingers-partial	pinched fingers: medium skin tone	pinched fingers: medium skin tone
🤌🏾	People & Body	hand-fingers-partial	pinched fingers: medium-dark skin tone	pinched fingers: medium-dark skin tone
🤌🏿	People & Body	hand-fingers-partial	pinched fingers: dark skin tone	pinched fingers: dark skin tone
🤏	People & Body	hand-fingers-partial	pinching hand	pinching hand,amount,bit,fingers,hand,little,pinching,small,sort
🤏🏻	People & Body	hand-fingers-partial	pinching hand: light skin tone	pinching hand: light skin tone
🤏🏼	People & Body	hand-fingers-partial	pinching hand: medium-light skin tone	pinching hand: medium-light skin tone
🤏🏽	People & Body	hand-fingers-partial	pinching hand: medium skin tone	pinching hand: medium skin tone
🤏🏾	People & Body	hand-fingers-partial	pinching hand: medium-dark skin tone	pinching hand: medium-dark skin tone
🤏🏿	People & Body	hand-fingers-partial	pinching hand: dark skin tone	pinching hand: dark skin tone
✌️	People & Body	hand-fingers-partial	victory hand	victory hand
✌🏻	People & Body	hand-fingers-partial	victory hand: light skin tone	victory hand: light skin tone
✌🏼	People & Body	hand-fingers-partial	victory hand: medium-light skin tone	victory hand: medium-light skin tone
✌🏽	People & Body	hand-fingers-partial	victory hand: medium skin tone	victory hand: medium skin tone
✌🏾	People & Body	hand-fingers-partial	victory hand: medium-dark skin tone	victory hand: medium-dark skin tone
✌🏿	People & Body	hand-fingers-partial	victory hand: dark skin tone	victory hand: dark skin tone
🤞	People & Body	hand-fingers-partial	crossed fingers	crossed fingers,cross,crossed,finger,fingers,hand,luck
🤞🏻	People & Body	hand-fingers-partial	crossed fingers: light skin tone	crossed fingers: light skin tone
🤞🏼	People & Body	hand-fingers-partial	crossed fingers: medium-light skin tone	crossed fingers: medium-light skin tone
🤞🏽	People & Body	hand-fingers-partial	crossed fingers: medium skin tone	crossed fingers: medium skin tone
🤞🏾	People & Body	hand-fingers-partial	crossed fingers: medium-dark skin tone	crossed fingers: medium-dark skin tone
🤞🏿	People & Body	hand-fingers-partial	crossed fingers: dark skin tone	crossed fingers: dark skin tone
🫰	People & Body	hand-fingers-partial	hand with index finger and thumb crossed	hand with index finger and thumb crossed,<3,crossed,expensive,finger,hand,heart,index,love,money,snap,thumb
🫰🏻	People & Body	hand-fingers-partial	hand with index finger and thumb crossed: light skin tone	hand with index finger and thumb crossed: light skin tone
🫰🏼	People & Body	hand-fingers-partial	hand with index finger and thumb crossed: medium-light skin tone	hand with index finger and thumb crossed: medium-light skin tone
🫰🏽	People & Body	hand-fingers-partial	hand with index finger and thumb crossed: medium skin tone	hand with index finger and thumb crossed: medium skin tone
🫰🏾	People & Body	hand-fingers-partial	hand with index finger and thumb crossed: medium-dark skin tone	hand with index finger and thumb crossed: medium-dark skin tone
🫰🏿	People & Body	hand-fingers-partial	hand with index finger and thumb crossed: dark skin tone	hand with index finger and thumb crossed: dark skin tone
🤟	People & Body	hand-fingers-partial	love-you gesture	love-you gesture,fingers,gesture,hand,ily,love,love-you,three,you
🤟🏻	People & Body	hand-fingers-partial	love-you gesture: light skin tone	love-you gesture: light skin tone
🤟🏼	People & Body	hand-fingers-partial	love-you gesture: medium-light skin tone	love-you gesture: medium-light skin tone
🤟🏽	People & Body	hand-fingers-partial	love-you gesture: medium skin tone	love-you gesture: medium skin tone
🤟🏾	People & Body	hand-fingers-partial	love-you gesture: medium-dark skin tone	love-you gesture: medium-dark skin tone
🤟🏿	People & Body	hand-fingers-partial	love-you gesture: dark skin tone	love-you gesture: dark skin tone
🤘	People & Body	hand-fingers-partial	sign of the horns	sign of the horns,finger,hand,horns,rock-on,sign
🤘🏻	People & Body	hand-fingers-partial	sign of the horns: light skin tone	sign of the horns: light skin tone
🤘🏼	People & Body	hand-fingers-partial	sign of the horns: medium-light skin tone	sign of the horns: medium-light skin tone
🤘🏽	People & Body	hand-fingers-partial	sign of the horns: medium skin tone	sign of the horns: medium skin tone
🤘🏾	People & Body	hand-fingers-partial	sign of the horns: medium-dark skin tone	sign of the horns: medium-dark skin tone
🤘🏿	People & Body	hand-fingers-partial	sign of the horns: dark skin tone	sign of the horns: dark skin tone
🤙	People & Body	hand-fingers-partial	call me hand	call me hand,call,hand,hang,loose,me,shaka
🤙🏻	People & Body	hand-fingers-partial	call me hand: light skin tone	call me hand: light skin tone
🤙🏼	People & Body	hand-fingers-partial	call me hand: medium-light skin tone	call me hand: medium-light skin tone
🤙🏽	People & Body	hand-fingers-partial	call me hand: medium skin tone	call me hand: medium skin tone
🤙🏾	People & Body	hand-fingers-partial	call me hand: medium-dark skin tone	call me hand: medium-dark skin tone
🤙🏿	People & Body	hand-fingers-partial	call me hand: dark skin tone	call me hand: dark skin tone
👈	People & Body	hand-single-finger	backhand index pointing left	backhand index pointing left,backhand,finger,hand,index,left,point,pointing
👈🏻	People & Body	hand-single-finger	backhand index pointing left: light skin tone	backhand index pointing left: light skin tone
👈🏼	People & Body	hand-single-finger	backhand index pointing left: medium-light skin tone	backhand index pointing left: medium-light skin tone
👈🏽	People & Body	hand-single-finger	backhand index pointing left: medium skin tone	backhand index pointing left: medium skin tone
👈🏾	People & Body	hand-single-finger	backhand index pointing left: medium-dark skin tone	backhand index pointing left: medium-dark skin tone
👈🏿	People & Body	hand-single-finger	backhand index pointing left: dark skin tone	backhand index pointing left: dark skin tone
👉	People & Body	hand-single-finger	backhand index pointing right	backhand index pointing right,backhand,finger,hand,index,point,pointing,right
👉🏻	People & Body	hand-single-finger	backhand index pointing right: light skin tone	backhand index pointing right: light skin tone
👉🏼	People & Body	hand-single-finger	backhand index pointing right: medium-light skin tone	backhand index pointing right: medium-light skin tone
👉🏽	People & Body	hand-single-finger	backhand index pointing right: medium skin tone	backhand index pointing right: medium skin tone
👉🏾	People & Body	hand-single-finger	backhand index pointing right: medium-dark skin tone	backhand index pointing right: medium-dark skin tone
👉🏿	People & Body	hand-single-finger	backhand index pointing right: dark skin tone	backhand index pointing right: dark skin tone
👆	People & Body	hand-single-finger	backhand index pointing up	backhand index pointing up,backhand,finger,hand,index,point,pointing,up
👆🏻	People & Body	hand-single-finger	backhand index pointing up: light skin tone	backhand index pointing up: light skin tone
👆🏼	People & Body	hand-single-finger	backhand index pointing up: medium-light skin tone	backhand index pointing up: medium-light skin tone
👆🏽	People & Body	hand-single-finger	backhand index pointing up: medium skin tone	backhand index pointing up: medium skin tone
👆🏾	People & Body	hand-single-finger	backhand index pointing up: medium-dark skin tone	backhand index pointing up: medium-dark skin tone
👆🏿	People & Body	hand-single-finger	backhand index pointing up: dark skin tone	backhand index pointing up: dark skin tone
🖕	People & Body	hand-single-finger	middle finger	middle finger,finger,hand,middle
🖕🏻	People & Body	hand-single-finger	middle finger: light skin tone	middle finger: light skin tone
🖕🏼	People & Body	hand-single-finger	middle finger: medium-light skin tone	middle finger: medium-light skin tone
🖕🏽	People & Body	hand-single-finger	middle finger: medium skin tone	middle finger: medium skin tone
🖕🏾	People & Body	hand-single-finger	middle finger: medium-dark skin tone	middle finger: medium-dark skin tone
🖕🏿	People & Body	hand-single-finger	middle finger: dark skin tone	middle finger: dark skin tone
👇	People & Body	hand-single-finger	backhand index pointing down	backhand index pointing down,backhand,down,finger,hand,index,point,pointing
👇🏻	People & Body	hand-single-finger	backhand index pointing down: light skin tone	backhand index pointing down: light skin tone
👇🏼	People & Body	hand-single-finger	backhand index pointing down: medium-light skin tone	backhand index pointing down: medium-light skin tone
👇🏽	People & Body	hand-single-finger	backhand index pointing down: medium skin tone	backhand index pointing down: medium skin tone
👇🏾	People & Body	hand-single-finger	backhand index pointing down: medium-dark skin tone	backhand index pointing down: medium-dark skin tone
👇🏿	People & Body	hand-single-finger	backhand index pointing down: dark skin tone	backhand index pointing down: dark skin tone
☝️	People & Body	hand-single-finger	index pointing up	index pointing up
☝🏻	People & Body	hand-single-finger	index pointing up: light skin tone	index pointing up: light skin tone
☝🏼	People & Body	hand-single-finger	index pointing up: medium-light skin tone	index pointing up: medium-light skin tone
☝🏽	People & Body	hand-single-finger	index pointing up: medium skin tone	index pointing up: medium skin tone
☝🏾	People & Body	hand-single-finger	index pointing up: medium-dark skin tone	index pointing up: medium-dark skin tone
☝🏿	People & Body	hand-single-finger	index pointing up: dark skin tone	index pointing up: dark skin tone
🫵	People & Body	hand-single-finger	index pointing at the viewer	index pointing at the viewer,at,finger,hand,index,pointing,poke,viewer,you
🫵🏻	People & Body	hand-single-finger	index pointing at the viewer: light skin tone	index pointing at the viewer: light skin tone
🫵🏼	People & Body	hand-single-finger	index pointing at the viewer: medium-light skin tone	index pointing at the viewer: medium-light skin tone
🫵🏽	People & Body	hand-single-finger	index pointing at the viewer: medium skin tone	index pointing at the viewer: medium skin tone
🫵🏾	People & Body	hand-single-finger	index pointing at the viewer: medium-dark skin tone	index pointing at the viewer: medium-dark skin tone
🫵🏿	People & Body	hand-single-finger	index pointing at the viewer: dark skin tone	index pointing at the viewer: dark skin tone
👍	People & Body	hand-fingers-closed	thumbs up	thumbs up,+1,good,hand,like,thumb,up,yes
👍🏻	People & Body	hand-fingers-closed	thumbs up: light skin tone	thumbs up: light skin tone
👍🏼	People & Body	hand-fingers-closed	thumbs up: medium-light skin tone	thumbs up: medium-light skin tone
👍🏽	People & Body	hand-fingers-closed	thumbs up: medium skin tone	thumbs up: medium skin tone
👍🏾	People & Body	hand-fingers-closed	thumbs up: medium-dark skin tone	thumbs up: medium-dark skin tone
👍🏿	People & Body	hand-fingers-closed	thumbs up: dark skin tone	thumbs up: dark skin tone
👎	People & Body	hand-fingers-closed	thumbs down	thumbs down,-1,bad,dislike,down,good,hand,no,nope,thumb,thumbs
👎🏻	People & Body	hand-fingers-closed	thumbs down: light skin tone	thumbs down: light skin tone
👎🏼	People & Body	hand-fingers-closed	thumbs down: medium-light skin tone	thumbs down: medium-light skin tone
👎🏽	People & Body	hand-fingers-closed	thumbs down: medium skin tone	thumbs down: medium skin tone
👎🏾	People & Body	hand-fingers-closed	thumbs down: medium-dark skin tone	thumbs down: medium-dark skin tone
👎🏿	People & Body	hand-fingers-closed	thumbs down: dark skin tone	thumbs down: dark skin tone
✊	People & Body	hand-fingers-closed	raised fist	raised fist,clenched,fist,hand,punch,raised,solidarity
✊🏻	People & Body	hand-fingers-closed	raised fist: light skin tone	raised fist: light skin tone
✊🏼	People & Body	hand-fingers-closed	raised fist: medium-light skin tone	raised fist: medium-light skin tone
✊🏽	People & Body	hand-fingers-closed	raised fist: medium skin tone	raised fist: medium skin tone
✊🏾	People & Body	hand-fingers-closed	raised fist: medium-dark skin tone	raised fist: medium-dark skin tone
✊🏿	People & Body	hand-fingers-closed	raised fist: dark skin tone	raised fist: dark skin tone
👊	People & Body	hand-fingers-closed	oncoming fist	oncoming fist,absolutely,agree,boom,bro,bruh,bump,clenched,correct,fist,hand,knuckle,oncoming,pound,punch,rock,ttyl
👊🏻	People & Body	hand-fingers-closed	oncoming fist: light skin tone	oncoming fist: light skin tone
👊🏼	People & Body	hand-fingers-closed	oncoming fist: medium-light skin tone	oncoming fist: medium-light skin tone
👊🏽	People & Body	hand-fingers-closed	oncoming fist: medium skin tone	oncoming fist: medium skin tone
👊🏾	People & Body	hand-fingers-closed	oncoming fist: medium-dark skin tone	oncoming fist: medium-dark skin tone
👊🏿	People & Body	hand-fingers-closed	oncoming fist: dark skin tone	oncoming fist: dark skin tone
🤛	People & Body	hand-fingers-closed	left-facing fist	left-facing fist,fist,left-facing,leftwards
🤛🏻	People & Body	hand-fingers-closed	left-facing fist: light skin tone	left-facing fist: light skin tone
🤛🏼	People & Body	hand-fingers-closed	left-facing fist: medium-light skin tone	left-facing fist: medium-light skin tone
🤛🏽	People & Body	hand-fingers-closed	left-facing fist: medium skin tone	left-facing fist: medium skin tone
🤛🏾	People & Body	hand-fingers-closed	left-facing fist: medium-dark skin tone	left-facing fist: medium-dark skin tone
